agent,skill,eligibility,risk,status_2026-04-26,notes
orchestrator,read,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,edit,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,list,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,glob,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,grep,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,view,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,agent-dream,eligible,GREEN,UNTESTED,
orchestrator,apple-notes,eligible,GREEN,UNTESTED,
orchestrator,apple-reminders,eligible,GREEN,UNTESTED,
orchestrator,article-writing,eligible,GREEN,UNTESTED,
orchestrator,business-writing,eligible,GREEN,UNTESTED,
orchestrator,clawhub,eligible,YELLOW,UNTESTED,
orchestrator,coding-agent,eligible,YELLOW,UNTESTED,
orchestrator,content-research,eligible,ORANGE,UNTESTED,
orchestrator,gog,eligible,YELLOW,UNTESTED,
orchestrator,google-workspace,eligible,GREEN,UNTESTED,
orchestrator,healthcheck,eligible,GREEN,UNTESTED,
orchestrator,heartbeat-pro,eligible,GREEN,WORKING,
orchestrator,himalaya,eligible,YELLOW,UNTESTED,
orchestrator,human-writing,eligible,GREEN,UNTESTED,
orchestrator,Market Research Agent,eligible,ORANGE,UNTESTED,
orchestrator,mcporter,eligible,YELLOW,UNTESTED,
orchestrator,memory-tiering,eligible,GREEN,WORKING,
orchestrator,microsoft-foundry,eligible,YELLOW,UNTESTED,
orchestrator,multi-search-engine,eligible,ORANGE,PARTIAL,PARTIAL: Cloudflare on directories
orchestrator,neural-memory,eligible,GREEN,WORKING,
orchestrator,node-connect,eligible,YELLOW,UNTESTED,
orchestrator,openclaw-auto-dream,eligible,GREEN,WORKING,
orchestrator,pollyreach,eligible,YELLOW,UNTESTED,
orchestrator,Sales Pipeline Tracker,eligible,ORANGE,UNTESTED,
orchestrator,sales-mastery,eligible,ORANGE,UNTESTED,
orchestrator,Self-Improving + Proactive Agent,eligible,YELLOW,UNTESTED,
orchestrator,seo-competitor-analysis,eligible,ORANGE,UNTESTED,
orchestrator,session-logs,eligible,GREEN,WORKING,
orchestrator,skill-creator,eligible,YELLOW,UNTESTED,
orchestrator,Social Media Scheduler,eligible,ORANGE,UNTESTED,
orchestrator,SocialPack Multi-Platform Social Media Generator,eligible,ORANGE,UNTESTED,
orchestrator,taskflow,eligible,YELLOW,UNTESTED,
orchestrator,taskflow-inbox-triage,eligible,GREEN,UNTESTED,
orchestrator,tmux,eligible,GREEN,UNTESTED,
orchestrator,video-frames,eligible,GREEN,UNTESTED,
orchestrator,weather,eligible,GREEN,UNTESTED,
orchestrator,website-seo,eligible,ORANGE,PARTIAL,PARTIAL
orchestrator,x-search,eligible,ORANGE,BROKEN,BROKEN: 403 (xAI no credits)
orchestrator,xurl,eligible,YELLOW,UNTESTED,
orchestrator,gh-issues,blocked,YELLOW,BLOCKED,requires GitHub auth credential
orchestrator,github,blocked,YELLOW,BLOCKED,requires GitHub auth credential
orchestrator,1password,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,autonomous-research,missingRequirements,ORANGE,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,bear-notes,missingRequirements,GREEN,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,blogwatcher,missingRequirements,GREEN,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,blucli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,bluebubbles,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,camsnap,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,discord,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,eightctl,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,gemini,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,gifgrep,missingRequirements,GREEN,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,goplaces,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,imsg,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,model-usage,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,nano-pdf,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,notion,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,obsidian,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,openai-whisper,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,openai-whisper-api,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,openhue,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,oracle,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,ordercli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,peekaboo,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,sag,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,sherpa-onnx-tts,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,slack,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,songsee,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,sonoscli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,spotify-player,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,summarize,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,things-mac,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,trello,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,voice-call,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
orchestrator,wacli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,read,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
engineering,edit,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
engineering,list,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
engineering,glob,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
engineering,grep,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
engineering,view,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
engineering,agent-dream,eligible,GREEN,UNTESTED,
engineering,apple-notes,eligible,GREEN,UNTESTED,
engineering,apple-reminders,eligible,GREEN,UNTESTED,
engineering,article-writing,eligible,GREEN,UNTESTED,
engineering,business-writing,eligible,GREEN,UNTESTED,
engineering,clawhub,eligible,YELLOW,UNTESTED,
engineering,coding-agent,eligible,YELLOW,UNTESTED,
engineering,content-research,eligible,ORANGE,UNTESTED,
engineering,gog,eligible,YELLOW,UNTESTED,
engineering,google-workspace,eligible,GREEN,UNTESTED,
engineering,healthcheck,eligible,GREEN,UNTESTED,
engineering,heartbeat-pro,eligible,GREEN,WORKING,
engineering,himalaya,eligible,YELLOW,UNTESTED,
engineering,human-writing,eligible,GREEN,UNTESTED,
engineering,Market Research Agent,eligible,ORANGE,UNTESTED,
engineering,mcporter,eligible,YELLOW,UNTESTED,
engineering,memory-tiering,eligible,GREEN,WORKING,
engineering,microsoft-foundry,eligible,YELLOW,UNTESTED,
engineering,multi-search-engine,eligible,ORANGE,PARTIAL,PARTIAL: Cloudflare on directories
engineering,neural-memory,eligible,GREEN,WORKING,
engineering,node-connect,eligible,YELLOW,UNTESTED,
engineering,openclaw-auto-dream,eligible,GREEN,WORKING,
engineering,pollyreach,eligible,YELLOW,UNTESTED,
engineering,Sales Pipeline Tracker,eligible,ORANGE,UNTESTED,
engineering,sales-mastery,eligible,ORANGE,UNTESTED,
engineering,Self-Improving + Proactive Agent,eligible,YELLOW,UNTESTED,
engineering,seo-competitor-analysis,eligible,ORANGE,UNTESTED,
engineering,session-logs,eligible,GREEN,WORKING,
engineering,skill-creator,eligible,YELLOW,UNTESTED,
engineering,Social Media Scheduler,eligible,ORANGE,UNTESTED,
engineering,SocialPack Multi-Platform Social Media Generator,eligible,ORANGE,UNTESTED,
engineering,taskflow,eligible,YELLOW,UNTESTED,
engineering,taskflow-inbox-triage,eligible,GREEN,UNTESTED,
engineering,tmux,eligible,GREEN,UNTESTED,
engineering,video-frames,eligible,GREEN,UNTESTED,
engineering,weather,eligible,GREEN,UNTESTED,
engineering,website-seo,eligible,ORANGE,PARTIAL,PARTIAL
engineering,x-search,eligible,ORANGE,BROKEN,BROKEN: 403 (xAI no credits)
engineering,xurl,eligible,YELLOW,UNTESTED,
engineering,gh-issues,blocked,YELLOW,BLOCKED,requires GitHub auth credential
engineering,github,blocked,YELLOW,BLOCKED,requires GitHub auth credential
engineering,1password,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,autonomous-research,missingRequirements,ORANGE,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,bear-notes,missingRequirements,GREEN,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,blogwatcher,missingRequirements,GREEN,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,blucli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,bluebubbles,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,camsnap,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,discord,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,eightctl,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,gemini,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,gifgrep,missingRequirements,GREEN,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,goplaces,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,imsg,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,model-usage,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,nano-pdf,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,notion,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,obsidian,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,openai-whisper,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,openai-whisper-api,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,openhue,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,oracle,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,ordercli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,peekaboo,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,sag,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,sherpa-onnx-tts,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,slack,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,songsee,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,sonoscli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,spotify-player,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,summarize,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,things-mac,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,trello,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,voice-call,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
engineering,wacli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,read,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
marketing,edit,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
marketing,list,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
marketing,glob,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
marketing,grep,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
marketing,view,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
marketing,agent-dream,eligible,GREEN,UNTESTED,
marketing,apple-notes,eligible,GREEN,UNTESTED,
marketing,apple-reminders,eligible,GREEN,UNTESTED,
marketing,article-writing,eligible,GREEN,UNTESTED,
marketing,business-writing,eligible,GREEN,UNTESTED,
marketing,clawhub,eligible,YELLOW,UNTESTED,
marketing,coding-agent,eligible,YELLOW,UNTESTED,
marketing,content-research,eligible,ORANGE,UNTESTED,
marketing,gog,eligible,YELLOW,UNTESTED,
marketing,google-workspace,eligible,GREEN,UNTESTED,
marketing,healthcheck,eligible,GREEN,UNTESTED,
marketing,heartbeat-pro,eligible,GREEN,WORKING,
marketing,himalaya,eligible,YELLOW,UNTESTED,
marketing,human-writing,eligible,GREEN,UNTESTED,
marketing,Market Research Agent,eligible,ORANGE,UNTESTED,
marketing,mcporter,eligible,YELLOW,UNTESTED,
marketing,memory-tiering,eligible,GREEN,WORKING,
marketing,microsoft-foundry,eligible,YELLOW,UNTESTED,
marketing,multi-search-engine,eligible,ORANGE,PARTIAL,PARTIAL: Cloudflare on directories
marketing,neural-memory,eligible,GREEN,WORKING,
marketing,node-connect,eligible,YELLOW,UNTESTED,
marketing,openclaw-auto-dream,eligible,GREEN,WORKING,
marketing,pollyreach,eligible,YELLOW,UNTESTED,
marketing,Sales Pipeline Tracker,eligible,ORANGE,UNTESTED,
marketing,sales-mastery,eligible,ORANGE,UNTESTED,
marketing,Self-Improving + Proactive Agent,eligible,YELLOW,UNTESTED,
marketing,seo-competitor-analysis,eligible,ORANGE,UNTESTED,
marketing,session-logs,eligible,GREEN,WORKING,
marketing,skill-creator,eligible,YELLOW,UNTESTED,
marketing,Social Media Scheduler,eligible,ORANGE,UNTESTED,
marketing,SocialPack Multi-Platform Social Media Generator,eligible,ORANGE,UNTESTED,
marketing,taskflow,eligible,YELLOW,UNTESTED,
marketing,taskflow-inbox-triage,eligible,GREEN,UNTESTED,
marketing,tmux,eligible,GREEN,UNTESTED,
marketing,video-frames,eligible,GREEN,UNTESTED,
marketing,weather,eligible,GREEN,UNTESTED,
marketing,website-seo,eligible,ORANGE,PARTIAL,PARTIAL
marketing,x-search,eligible,ORANGE,BROKEN,BROKEN: 403 (xAI no credits)
marketing,xurl,eligible,YELLOW,UNTESTED,
marketing,gh-issues,blocked,YELLOW,BLOCKED,requires GitHub auth credential
marketing,github,blocked,YELLOW,BLOCKED,requires GitHub auth credential
marketing,1password,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,autonomous-research,missingRequirements,ORANGE,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,bear-notes,missingRequirements,GREEN,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,blogwatcher,missingRequirements,GREEN,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,blucli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,bluebubbles,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,camsnap,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,discord,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,eightctl,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,gemini,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,gifgrep,missingRequirements,GREEN,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,goplaces,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,imsg,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,model-usage,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,nano-pdf,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,notion,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,obsidian,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,openai-whisper,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,openai-whisper-api,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,openhue,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,oracle,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,ordercli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,peekaboo,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,sag,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,sherpa-onnx-tts,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,slack,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,songsee,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,sonoscli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,spotify-player,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,summarize,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,things-mac,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,trello,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,voice-call,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
marketing,wacli,missingRequirements,YELLOW,NOT_INSTALLED,see skills.check.json missingRequirements for install path
outreach,read,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
outreach,edit,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
outreach,list,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
outreach,glob,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
outreach,grep,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
outreach,view,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
outreach,agent-dream,eligible,GREEN,UNTESTED,
outreach,apple-notes,eligible,GREEN,UNTESTED,
outreach,apple-reminders,eligible,GREEN,UNTESTED,
outreach,article-writing,eligible,GREEN,UNTESTED,
outreach,business-writing,eligible,GREEN,UNTESTED,
outreach,clawhub,eligible,YELLOW,UNTESTED,
outreach,coding-agent,eligible,YELLOW,UNTESTED,
outreach,content-research,eligible,ORANGE,UNTESTED,
outreach,gog,eligible,YELLOW,UNTESTED,
outreach,google-workspace,eligible,GREEN,UNTESTED,
outreach,healthcheck,eligible,GREEN,UNTESTED,
outreach,heartbeat-pro,eligible,GREEN,WORKING,
outreach,himalaya,eligible,YELLOW,UNTESTED,
outreach,human-writing,eligible,GREEN,UNTESTED,
outreach,Market Research Agent,eligible,ORANGE,UNTESTED,
outreach,mcporter,eligible,YELLOW,UNTESTED,
outreach,memory-tiering,eligible,GREEN,WORKING,
outreach,microsoft-foundry,eligible,YELLOW,UNTESTED,
outreach,multi-search-engine,eligible,ORANGE,PARTIAL,PARTIAL: Cloudflare on directories
outreach,neural-memory,eligible,GREEN,WORKING,
outreach,node-connect,eligible,YELLOW,UNTESTED,
outreach,openclaw-auto-dream,eligible,GREEN,WORKING,
outreach,pollyreach,eligible,YELLOW,UNTESTED,
outreach,Sales Pipeline Tracker,eligible,ORANGE,UNTESTED,
outreach,sales-mastery,eligible,ORANGE,UNTESTED,
outreach,Self-Improving + Proactive Agent,eligible,YELLOW,UNTESTED,
outreach,seo-competitor-analysis,eligible,ORANGE,UNTESTED,
outreach,session-logs,eligible,GREEN,WORKING,
outreach,skill-creator,eligible,YELLOW,UNTESTED,
outreach,Social Media Scheduler,eligible,ORANGE,UNTESTED,
outreach,SocialPack Multi-Platform Social Media Generator,eligible,ORANGE,UNTESTED,
outreach,taskflow,eligible,YELLOW,UNTESTED,
outreach,taskflow-inbox-triage,eligible,GREEN,UNTESTED,
outreach,tmux,eligible,GREEN,UNTESTED,
outreach,video-frames,eligible,GREEN,UNTESTED,
outreach,weather,eligible,GREEN,UNTESTED,
outreach,website-seo,eligible,ORANGE,PARTIAL,PARTIAL
outreach,x-search,eligible,ORANGE,BROKEN,BROKEN: 403 (xAI no credits)
outreach,xurl,eligible,YELLOW,UNTESTED,
outreach,gh-issues,blocked,YELLOW,BLOCKED,requires GitHub auth credential
outreach,github,blocked,YELLOW,BLOCKED,requires GitHub auth credential
